id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,real_time,internal_msg
55,HS8,2,2,0,first_order,-1.0,0.002,4,0.0,5.330041465212432e-5,5,6,5,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.0023889541625976562,Solve_Succeeded
56,BT8,5,2,0,first_order,1.00006103515625,0.004,7,3.3962673611134114e-6,6.103515625e-5,8,9,8,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,,0.004026174545288086,Solve_Succeeded
57,BT1,2,1,0,first_order,-0.9999684813010705,0.0,6,3.140783064736752e-7,3.167708433645961e-7,10,8,11,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.003738880157470703,Solve_Succeeded
58,LSC2,3,6,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011959075927734375,Not_Enough_Degrees_Of_Freedom
59,MISRA1A,2,14,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0010859966278076172,Not_Enough_Degrees_Of_Freedom
60,DEVGLA2NE,5,16,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011508464813232422,Not_Enough_Degrees_Of_Freedom
61,CERI651C,7,56,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011658668518066406,Not_Enough_Degrees_Of_Freedom
62,EGGCRATENE,2,4,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0010998249053955078,Not_Enough_Degrees_Of_Freedom
63,RECIPE,3,3,0,first_order,0.0,0.003,9,0.0,9.5367431640625e-5,10,11,10,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,,0.004467010498046875,Solve_Succeeded
64,HATFLDFLNE,3,3,0,first_order,0.0,0.009000000000000001,13,0.0,2.4175712796073445e-5,144,15,154,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,,0.009183883666992188,Solve_Succeeded
65,DENSCHNENE,3,3,0,infeasible,0.0,0.005,9,4.0886844142767677e-7,1.0,35,10,43,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,,0.008480072021484375,Infeasible_Problem_Detected
66,PRICE4NE,2,2,0,first_order,0.0,0.006,14,0.0,4.743751184370449e-5,15,16,15,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,,0.0063059329986572266,Solve_Succeeded
67,CHNRSBNE,50,98,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011401176452636719,Not_Enough_Degrees_Of_Freedom
68,BROWNBSNE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011229515075683594,Not_Enough_Degrees_Of_Freedom
69,BYRDSPHR,3,2,0,first_order,-4.683300181943529,0.004,17,2.5546208481941335e-8,2.0612437978684284e-7,18,19,28,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,,0.008617877960205078,Solve_Succeeded
70,RAT43,4,15,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001230001449584961,Not_Enough_Degrees_Of_Freedom
71,LUKSAN21,100,100,0,first_order,0.0,0.001,4,0.0,5.911473785691346e-5,11,6,13,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,,0.005773067474365234,Solve_Succeeded
72,HS50,5,3,0,first_order,6.383723978530173e-13,0.001,8,2.1849291349053923e-6,1.3322676295501878e-15,9,10,9,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,,0.00410914421081543,Solve_Succeeded
73,METHANB8,31,31,0,first_order,0.0,0.002,2,0.0,1.0262071620672942e-7,3,4,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.002110004425048828,Solve_Succeeded
74,POWELLSQ,2,2,0,infeasible,0.0,0.011,22,0.012947773434007104,11.312808014126247,105,13,112,0,0,26,0,0,22,0,0,0,0,0,0,0,0,0,0,,0.014558076858520508,Infeasible_Problem_Detected
75,ECKERLE4,3,35,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0012478828430175781,Not_Enough_Degrees_Of_Freedom
76,BT10,2,2,0,first_order,-1.0000373203955963,0.002,5,6.661338147750939e-16,5.590364058760677e-5,6,7,6,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,,0.002791881561279297,Solve_Succeeded
77,BOXBOD,2,6,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011188983917236328,Not_Enough_Degrees_Of_Freedom
78,DANIWOOD,2,6,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011210441589355469,Not_Enough_Degrees_Of_Freedom
79,OSCIPANE,10,10,0,infeasible,0.0,0.004,6,0.002116347137360972,0.9999989915512444,16,4,31,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.005833148956298828,Infeasible_Problem_Detected
80,HS26,3,1,0,first_order,7.22887531590132e-9,0.003,14,3.1359060420305275e-6,4.7803593616890794e-5,15,16,15,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,,0.006512880325317383,Solve_Succeeded
81,CERI651D,7,67,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011661052703857422,Not_Enough_Degrees_Of_Freedom
82,BT7,5,3,0,first_order,306.4906172090633,0.006,14,0.016222571747778195,1.3156041005712993e-5,28,16,28,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,,0.008141040802001953,Solve_Succeeded
83,HS9,2,1,0,first_order,-0.49999989217841545,0.0,2,8.596495811574734e-5,2.2737367544323206e-13,5,4,5,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.0017638206481933594,Solve_Succeeded
84,HS100LNP,7,2,0,first_order,680.6300573722203,0.008,19,4.680943702872753e-6,1.9043824295295053e-9,20,21,20,0,0,21,0,0,19,0,0,0,0,0,0,0,0,0,0,,0.009148120880126953,Solve_Succeeded
85,GENHS28,10,8,0,first_order,0.9271736937663908,0.001,1,1.1102230246251565e-15,4.440892098500626e-16,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0012080669403076172,Solve_Succeeded
86,MGH10,3,16,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011241436004638672,Not_Enough_Degrees_Of_Freedom
