id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,residuals,internal_msg
36,BT11,5,3,0,first_order,0.8247277689932775,0.002,7,1.1425899912653747e-5,0.0001,12,17,12,0,0,22,0,0,12,0,0,0,0,0,0,0,0,0,0,,"[4.8946641075553335e-5, 6.076541431402553e-5, -3.304101622378917e-5]",Solve_Succeeded
37,MARATOS,2,1,0,first_order,-1.0000983901119205,0.003,3,9.692036524588943e-5,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,[-5.117430886621168e-5],Solve_Succeeded
38,JENSMPNE,2,10,0,max_iter,0.0,9.187,21460,4.856463019554212e8,1.0,30645,21515,30646,0,0,21536,0,0,21494,0,0,0,0,0,0,0,0,0,0,,"[1.4117701735759793, 2.6505331828045424, 3.6654050405585927, 4.390536020253267, 4.74070900868416, 4.605643268792573, 3.842622854110838, 2.2669569299619727, -0.36036566714307955, -4.348652848299658]",Solve_Failed
39,MANCINONE,100,100,0,first_order,0.0,0.189,4,4.2542218401517966e-16,0.1,6,8,6,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,,"[3.4867941867133823e-16, 4.5102810375396984e-17, -3.122502256758253e-16, -7.060324547225605e-16, -1.1119577481011333e-15, -1.493596912816031e-15, -1.8006429680639258e-15, -1.9810542095655137e-15, -1.9827889330414905e-15, -1.7572748811645056e-15, -1.27675647831893e-15, -5.429684479807406e-16, 3.920475055707584e-16, 1.4589024432964948e-15, 2.5240226575462543e-15, 3.4399566528620085e-15, 4.040170975549984e-15, 4.191091917959966e-15, 3.800779135865184e-15, 2.8709673527416157e-15, 1.528291382335567e-15, 3.469446951953614e-18, -1.4155343563970746e-15, -2.536165721878092e-15, -3.436487205910055e-15, -4.6074255521944e-15, -6.886852199627924e-15, -1.0911410663894117e-14, -1.6150275561344074e-14, -1.9772378179183647e-14, -1.6528445279107018e-14, -1.8283985436795547e-15, 2.0931173461136154e-14, 3.580989671458923e-14, 2.845813862339952e-14, 7.181755190543981e-15, -9.927822453015267e-15, -1.3345227700689577e-14, -9.59995971605565e-15, -1.1232334506949826e-14, -1.3078080285389149e-14, -1.288205653260377e-14, -1.1220191442617988e-14, -9.292913660807756e-15, -7.69349861595714e-15, -6.7047062346503594e-15, -6.3438837516471835e-15, -6.494804694057166e-15, -7.004813395994347e-15, -7.691763892481163e-15, -8.36657132463614e-15, -8.859232791813554e-15, -8.965050923848139e-15, -8.463715839290842e-15, -7.004813395994347e-15, -4.111294638065033e-15, 7.060324547225605e-16, 7.719519468096792e-15, 1.655446613124667e-14, 2.5913299284141544e-14, 3.336567133693791e-14, 3.534152137607549e-14, 2.933764342571976e-14, 1.561945017769517e-14, -6.331740687315346e-16, -9.414344304126132e-15, -1.8188575645616822e-14, -1.6372320166269105e-14, -1.3985340663325019e-14, -1.1530706944817837e-14, -8.461981115814865e-15, -5.859895901849654e-15, -4.272623921330876e-15, -3.318526009543632e-15, -2.4702462297909733e-15, -1.4068607390171906e-15, -9.367506770274758e-17, 1.3079815008865125e-15, 2.5587171270657905e-15, 3.4555691641457997e-15, 3.892719480091955e-15, 3.8719027983802334e-15, 3.4503649937178693e-15, 2.7217811338076103e-15, 1.807581861967833e-15, 8.291978215169138e-16, -9.8879238130678e-17, -8.881784197001252e-16, -1.4814538484841933e-15, -1.8474805019152996e-15, -1.9984014443252818e-15, -1.9585028043778152e-15, -1.77115266897232e-15, -1.4797191250082165e-15, -1.132774429812855e-15, -7.632783294297951e-16, -4.0419056990259605e-16, -8.326672684688674e-17, 1.9081958235744878e-16, 4.111294638065033e-16]",Solve_Succeeded
40,LSC1,3,6,0,max_iter,0.0,6.156,16329,1.818881207258528e8,1.0,17107,16383,17107,0,0,16404,0,0,16362,0,0,0,0,0,0,0,0,0,0,,"[-1.0528836722709796, -1.168925905649992, -0.4500358284502951, -0.33188792060371275, 1.957539812888644, 1.0451108439677093]",Solve_Failed
41,CHWIRUT2,3,54,0,max_iter,0.0,33.48800000000001,56639,8.242285064000044e8,10.0,56663,56681,56663,0,0,56702,0,0,56660,0,0,0,0,0,0,0,0,0,0,,"[11.043416976207167, 8.208742153977765, 2.7784879633904227, 1.0314919771266644, 2.9098182427018076, 8.88061588432867, 0.2493949946125093, 1.216446825954667, 2.4258142072043465, 1.9863263212994602, -1.471512036609577, 0.06642159154436893, -0.08469803734860436, -3.326903339408015, 1.101825443198745, -0.0006050053874907021, -0.49881790323126507, -0.35658302379283824, -1.4594598541615007, -1.9136736787005384, 0.040540145838499395, -0.40103347854821625, 0.7243399875264563, -2.019459854161499, 0.7243399875264563, -1.3010334785482147, -0.6294598541615005, -6.056583023792841, -4.32292968819805, 0.8665373685202078, -2.313673678700537, -2.652929688198048, 1.9530167153014177, 0.186326321299463, -0.95060500538749, -2.796008022873336, -1.3651817572981928, -2.769459854161499, -7.113673678700534, 5.145921704127103, 1.9965373685202086, -0.5136736787005398, -0.854078295872897, -0.8134626314797919, -2.6136736787005344, -2.2540782958728953, -0.9334626314797929, -0.8565830237928382, 0.15433998752645608, 0.040540145838499395, -0.15658302379283537, 0.773921591544372, -0.5565830237928411, 0.6284879633904207]",Solve_Failed
42,BT6,5,2,0,first_order,0.277044676968056,0.004,12,1.28211775766926e-5,0.0001,21,22,21,0,0,27,0,0,17,0,0,0,0,0,0,0,0,0,0,,"[1.2260861395292167e-6, -6.993311050994178e-8]",Solve_Succeeded
43,ORTHREGB,27,6,0,first_order,1.0003731850860544e-20,0.001,3,9.999947612958099e-7,0.001,7,11,7,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,,"[2.9995912826513704e-8, 3.0002380737789713e-8, 3.0006576621013914e-8, 3.0002380737789713e-8, 2.9977238110226456e-8, 3.0047414860054356e-8]",Solve_Succeeded
44,HS6,2,1,0,first_order,0.0,0.004,6,0.0,0.01,10,12,10,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0,,[0.0],Solve_Succeeded
45,HS28,3,1,0,first_order,0.0,0.002,2,1.1102230246251565e-16,0.01,5,8,5,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,,[0.0],Solve_Succeeded
