id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
11,EXPFITNE,2,10,0,max_iter,0.0,0.19705891609191895,3000,0.0625,0.31892202370220113,8976,3001,8976,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
12,SSINE,3,2,0,first_order,0.0,0.12084007263183594,2518,7.870656932110268e-11,1.8360867335469716e-7,21599,2519,21599,0,0,2518,0,5037,2518,0,0,0,0,0,0,0,0,0,0,
13,HS7,2,1,0,first_order,-1.732050814652565,0.0008931159973144531,16,2.946255017732824e-9,2.4538614251667923e-8,86,17,86,0,0,16,0,33,16,0,0,0,0,0,0,0,0,0,0,
14,BOX3NE,3,10,0,first_order,0.0,0.0005540847778320312,6,3.3069020868876025e-7,6.248331782532368e-10,7,7,7,0,0,6,0,13,6,0,0,0,0,0,0,0,0,0,0,
15,HS48,5,2,0,first_order,1.1386842276123322e-11,0.0005118846893310547,8,8.838099310749425e-6,4.184273039165021e-9,9,9,9,0,0,8,0,17,8,0,0,0,0,0,0,0,0,0,0,
16,BT9,4,2,0,first_order,-1.0000155788454987,0.0007770061492919922,14,9.238648538412164e-7,7.790364209503409e-6,17,15,17,0,0,14,0,29,14,0,0,0,0,0,0,0,0,0,0,
17,S308NE,2,3,0,max_iter,0.0,0.1572868824005127,3000,1.33514404296875e-5,0.7683329806503616,8962,3001,8962,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
18,MGH17S,5,33,0,max_iter,0.0,0.4943079948425293,3000,3.906773765294247e-5,0.005153166543991006,3019,3001,3019,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
19,DENSCHNDNE,3,3,0,first_order,0.0,0.0014159679412841797,28,4.7326163497758535e-6,5.396400781309697e-6,29,29,29,0,0,28,0,57,28,0,0,0,0,0,0,0,0,0,0,
20,CERI651B,7,66,0,max_iter,0.0,1.0721509456634521,3000,1.773889985879937,2.737575987507312,3008,3001,3008,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
21,THURBER,7,37,0,max_iter,0.0,1.067737102508545,3000,3.041082814335823,34.965721440783,90426,3001,90426,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
22,CERI651E,7,64,0,max_iter,0.0,0.9826328754425049,3000,0.038473472730173194,1.9611328686478453,3002,3001,3002,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
23,BARDNE,3,15,0,max_iter,0.0,0.22745895385742188,3000,0.000152587890625,0.08221604243401165,8600,3001,8600,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
24,GOTTFR,2,2,0,first_order,0.0,0.0013720989227294922,34,7.958546936848335e-10,2.0367874054016966e-12,36,35,36,0,0,34,0,69,34,0,0,0,0,0,0,0,0,0,0,
25,STREGNE,4,2,0,first_order,0.0,0.0003249645233154297,5,1.3802292519150762e-6,2.7609184938270914e-9,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
26,PENLT2NE,4,8,0,first_order,0.0,0.00034809112548828125,4,2.3022066259793466e-8,7.623850286156531e-6,5,5,5,0,0,4,0,9,4,0,0,0,0,0,0,0,0,0,0,
27,HS42,4,2,0,first_order,13.857848718693662,0.00037789344787597656,6,3.195043317916202e-6,3.984047872274132e-6,7,7,7,0,0,6,0,13,6,0,0,0,0,0,0,0,0,0,0,
28,HS27,3,1,0,first_order,0.03999999996606604,0.002023935317993164,42,7.198151880105641e-9,8.483490576693954e-10,288,43,288,0,0,42,0,85,42,0,0,0,0,0,0,0,0,0,0,
29,DENSCHNBNE,2,3,0,first_order,0.0,0.00032591819763183594,5,1.2983123847319417e-6,1.2983123465204471e-9,6,6,6,0,0,5,0,11,5,0,0,0,0,0,0,0,0,0,0,
30,DIXCHLNG,10,5,0,max_iter,1172.8485377057614,0.29088687896728516,3000,0.00043618321865324106,0.5454021387666128,3003,3001,3003,0,0,3000,0,6001,3000,0,0,0,0,0,0,0,0,0,0,
31,VARDIMNE,10,12,0,first_order,0.0,0.0011990070343017578,11,1.5361945657390342e-7,1.531397231246956e-11,12,12,12,0,0,11,0,23,11,0,0,0,0,0,0,0,0,0,0,
